Date,Time,Latitude,Longitude,Road Name,Road Type,Vehicle Count,Average Speed,Weather,Temperature,Humidity,Accident Count,Traffic Signal,Holiday,Travel Time,Congestion Level
2026-06-08,20:30,22.554730859737205,88.34596869579732,Park Street,Local,60,13.22,Clear,34.4,40.0,0,1,0,22.69,High
2026-06-12,21:00,28.56083649934414,77.20366809019706,Ring Road,Highway,137,77.98,Clear,36.6,34.2,0,1,0,3.85,Moderate
2026-06-25,02:00,28.628049239825344,77.22736461771613,Connaught Place Inner Circle,Arterial,94,33.56,Clear,28.9,58.5,0,1,0,8.94,Moderate
2026-06-12,07:30,28.63352050932052,77.27946527037652,Vikas Marg,Arterial,148,20.46,Clear,30.6,52.7,0,0,0,14.66,Moderate
2026-06-16,14:45,28.565103004720036,77.21853317731588,Ring Road,Highway,164,83.03,Clear,41.5,55.3,0,1,0,3.61,Moderate
2026-06-25,06:00,28.583725470114082,77.21780533878126,Lodi Road,Local,32,20.74,Clear,28.1,54.5,0,1,0,14.46,Moderate
2026-06-09,07:45,22.55182154051004,88.36059919351088,Park Street,Local,73,9.54,Clear,32.4,39.8,0,1,0,31.45,High
2026-06-14,06:30,28.63561570097234,77.21892554395139,Connaught Place Inner Circle,Arterial,51,46.52,Clear,28.4,33.2,0,1,0,6.45,Low
2026-06-29,03:00,22.550888347585555,88.35309682182603,Park Street,Local,33,28.04,Clear,30.3,57.9,0,1,0,10.7,Moderate
2026-06-26,22:45,28.646551179969798,77.27658684483832,Vikas Marg,Arterial,64,24.24,Rainy,24.2,93.0,0,1,0,12.37,Moderate
2026-06-10,11:45,28.58749659942718,77.2283487206578,Lodi Road,Local,28,6.76,Clear,35.3,51.1,1,1,0,44.41,High
2026-06-24,16:30,28.57144541179849,77.20296173859906,Ring Road,Highway,174,69.7,Clear,28.7,38.4,0,0,0,4.3,Moderate
2026-06-11,23:30,28.454341105430228,77.03004271094812,MG Road,Highway,143,42.15,Rainy,25.8,99.7,0,1,0,7.12,Moderate
2026-06-28,03:30,28.463416256135815,77.03376717609628,MG Road,Highway,113,52.44,Rainy,24.8,81.9,0,1,0,5.72,Low
2026-06-30,09:30,28.580069470424814,77.23299387236558,Lodi Road,Local,71,12.97,Clear,41.8,45.5,0,1,0,23.13,High
2026-06-16,15:30,22.545580595820972,88.34928419149226,Park Street,Local,35,25.81,Clear,40.4,55.5,0,1,0,11.62,Moderate
2026-06-14,17:15,28.591070035382163,77.21460123167694,Lodi Road,Local,43,11.96,Clear,31.1,51.4,0,1,0,25.09,High
2026-06-22,22:15,28.6147508046111,77.20917628153678,Grand Trunk Road,Highway,157,50.51,Foggy,13.9,98.4,0,1,0,5.94,Moderate
2026-06-19,03:30,28.607804859755962,77.21344904230523,Grand Trunk Road,Highway,136,82.69,Clear,41.9,44.1,0,1,0,3.63,Moderate
2026-06-28,00:45,28.61495529933671,77.21044584938342,Grand Trunk Road,Highway,97,71.96,Clear,39.9,39.5,0,1,0,4.17,Low
2026-06-23,01:30,28.63417837435231,77.12342287033648,Outer Ring Road,Highway,162,55.06,Rainy,27.9,93.9,0,0,0,5.45,Moderate
2026-06-28,06:00,28.625524138871892,77.2199302742173,Connaught Place Inner Circle,Arterial,56,39.02,Clear,29.0,41.9,0,1,0,7.69,Low
2026-06-30,21:15,28.456063053349492,77.01970083233455,MG Road,Highway,152,63.6,Clear,28.5,39.1,0,1,0,4.72,Moderate
2026-06-20,14:30,28.540745303232274,77.17114046150024,Nelson Mandela Marg,Arterial,59,33.26,Clear,41.7,45.5,0,1,0,9.02,Moderate
2026-06-09,11:00,28.535286673486628,77.15591745933234,Nelson Mandela Marg,Arterial,67,29.55,Rainy,25.5,84.8,0,1,0,10.15,Moderate
2026-06-29,22:30,22.551942226570002,88.35101345797355,Park Street,Local,25,28.55,Clear,38.6,30.4,0,0,0,10.51,Moderate
